KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
574724,Barchov,170,113,113,5,0,0,9,0,12,7,0,3,1,0,0,14,0,3,40,0,1,3,0,0,0,15,0
574741,BezdÏkov,262,164,163,18,0,0,5,0,14,9,7,1,2,0,0,20,0,7,58,0,1,3,4,2,0,11,1
574783,Borek,226,161,159,30,0,1,12,1,12,9,2,1,3,2,0,11,0,6,34,0,0,8,1,0,1,25,0
574791,Brloh,193,149,149,8,0,0,10,0,17,11,0,4,1,0,0,17,0,5,43,0,0,9,1,1,0,19,3
574805,B¯ehy,833,576,573,65,1,0,43,0,30,66,9,4,0,0,0,58,0,18,198,0,2,17,4,0,2,53,3
574813,Bukovina nad Labem,187,139,138,23,1,0,6,0,6,15,0,1,1,0,0,9,0,5,49,0,0,16,0,0,0,6,0
574821,Bukovina u P¯elouËe,69,51,50,4,0,0,6,0,4,3,1,3,0,0,0,0,0,0,17,0,0,1,0,0,0,10,1
574830,Bukovka,316,207,206,22,0,0,8,1,14,15,1,3,0,0,0,15,0,6,83,0,0,19,1,1,0,16,1
574848,B˝öù,167,113,113
572799,»asy,891,618,614,19,0,0,14,1,16,7,0,0,0,0,0,10,0,6,31,0,0,6,0,1,1,0,1
574856,»eperka,339,219,214,59,0,0,29,0,37,38,18,2,6,0,1,81,1,27,228,3,3,30,5,2,1,43,0
574864,»epÌ,376,249,246,35,0,1,9,0,7,12,1,0,5,0,0,29,0,10,77,0,0,12,0,1,1,14,0
572896,»ern· u BohdanËe,318,194,194,21,0,0,13,0,15,17,4,1,4,0,0,26,0,11,95,0,0,10,1,0,0,27,1
574899,Daöice,720,464,464
574902,Dolany,328,220,217,20,0,4,17,0,5,17,1,2,1,0,0,15,0,2,70,1,0,7,0,1,2,29,0
574911,DolnÌ RoveÚ,211,164,163
574929,DolnÌ ÿedice,221,141,138,47,0,2,47,0,28,30,9,4,9,1,1,47,0,14,161,1,1,15,1,1,2,42,1
574953,D¯ÌteË,47,35,33,39,3,1,8,0,14,8,4,1,4,1,0,30,0,16,56,0,0,7,1,0,0,23,1
572977,Dubany,807,529,526,26,0,0,4,0,7,10,6,1,4,0,0,19,1,4,60,2,0,4,0,0,0,13,2
574961,HlaveËnÌk,171,119,118,16,0,0,8,1,6,24,1,3,0,0,1,6,0,6,39,0,0,3,0,0,0,24,0
574988,Holice,878,557,555
573019,HolotÌn,257,164,163,0,0,1,0,0,4,2,1,0,1,0,1,3,0,2,9,0,0,2,0,0,0,7,0
574996,HornÌ JelenÌ,81,62,62
575011,HornÌ ÿedice,537,329,324,61,1,0,31,0,34,36,3,8,8,0,2,72,0,17,166,0,1,16,1,1,0,67,1
575046,Hrobice,173,125,124,13,0,0,2,0,10,10,1,1,2,1,0,14,0,8,36,0,1,4,0,1,0,14,0
575054,Choltice,257,170,169,50,0,0,28,1,41,37,10,4,7,0,4,86,1,11,195,0,0,23,6,2,1,46,2
575062,ChoteË,191,139,138,29,1,0,15,0,8,11,2,0,2,1,0,12,0,3,44,0,0,0,0,1,1,32,1
572764,ChrtnÌky,133,82,82,0,0,0,7,0,3,6,1,1,2,0,0,11,0,1,16,1,0,4,1,0,0,8,0
575071,Chvaletice,185,125,125
575089,Chvojenec,309,223,220,49,0,0,22,3,18,14,7,3,3,0,0,38,0,12,88,2,1,21,3,0,2,37,1
575097,Ch˝öù,152,80,80,7,0,1,9,0,4,10,3,3,4,0,0,9,0,2,30,0,0,5,1,0,0,36,0
575101,Jankovice,345,208,206,13,1,1,15,0,10,29,0,3,2,0,0,14,0,4,53,0,6,3,1,0,0,14,0
575119,Jaroslav,420,280,280,20,0,1,3,0,11,13,1,5,0,0,0,10,0,1,40,0,0,1,0,0,2,29,1
575127,Jedousov,202,127,125,1,0,0,5,0,1,6,0,1,2,0,0,19,0,4,27,0,1,6,1,0,0,8,0
575135,JenÌkovice,257,177,177,8,1,0,4,0,2,11,1,0,0,0,0,5,0,7,52,1,0,18,2,0,0,12,1
575143,Jezbo¯ice,160,106,106,29,0,2,14,0,8,17,1,1,2,1,0,25,0,14,81,1,0,4,2,0,0,18,0
575151,Kasalice,115,82,82,7,0,0,6,2,3,10,0,0,0,0,0,10,0,0,27,0,0,7,0,0,0,8,0
575178,Kladruby nad Labem,421,250,245
575194,Kojice,327,204,204,19,2,0,14,0,10,20,0,2,2,0,0,18,0,6,79,0,0,1,1,2,1,28,1
575232,KostÏnice,116,74,70,38,1,0,17,0,20,15,4,1,9,2,0,27,1,16,93,2,1,18,2,0,0,13,0
572861,K¯iËeÚ,106,77,77,16,0,0,16,0,3,11,1,2,2,1,0,15,0,7,32,0,0,4,1,1,0,13,0
573515,KunÏtice,947,630,624,21,0,0,4,0,14,11,1,3,4,0,2,18,1,6,37,1,1,18,3,0,0,32,0
575259,LabskÈ ChrËice,149,101,101,2,0,0,16,0,14,17,0,1,2,0,0,10,0,0,27,0,0,0,0,0,0,16,1
572845,L·ny u Daöic,73,45,45,8,0,0,3,0,2,5,0,0,0,0,0,5,2,0,36,0,0,5,0,1,0,15,0
574767,L·znÏ BohdaneË,435,319,319
575305,Libiöany,132,83,83,18,0,0,19,1,10,20,3,4,5,1,0,28,0,2,92,1,0,6,1,1,1,32,0
575313,Lipoltice,833,550,544,13,0,0,17,0,14,23,0,3,3,0,0,27,1,4,51,0,0,11,2,0,0,30,5
575330,Litoöice,74,53,53,5,0,0,2,0,3,11,2,1,0,0,0,6,1,3,27,0,0,2,0,0,0,7,0
572802,MalÈ V˝kleky,207,151,151,10,0,0,8,0,5,3,1,1,0,0,0,8,0,1,20,0,0,3,1,0,0,16,0
575372,Mikulovice,78,58,58,89,1,2,44,0,33,39,6,9,4,0,2,60,0,38,203,0,1,28,1,1,1,59,3
575381,MokoöÌn,134,94,93,5,0,0,12,0,6,4,0,1,3,0,0,6,0,6,38,0,0,2,1,0,0,17,0
573035,Moraöice,83,50,49,3,0,0,1,0,2,11,0,0,0,0,0,1,0,0,22,0,0,2,0,0,0,3,0
575399,Moravany,175,119,118
572870,NÏmËice,71,61,61,60,0,0,16,0,15,7,4,0,2,0,1,48,1,29,70,0,0,36,2,2,0,23,3
573078,Neratov,468,302,301,6,0,0,10,0,9,8,0,1,1,0,0,6,0,0,26,0,0,1,6,0,0,8,1
575429,Opatovice nad Labem,460,304,302
575437,Ost¯eöany,224,153,153,62,0,3,26,0,31,45,3,7,6,0,3,67,0,21,192,0,0,20,9,2,0,46,1
575445,Ost¯etÌn,1 133,656,656
555134,Plch,99,47,47
572942,PobÏûovice u Holic,475,292,290,2,0,0,3,0,4,2,0,1,0,0,0,6,0,1,20,0,1,4,0,0,0,9,0
575461,PobÏûovice u P¯elouËe,350,227,226,18,1,0,9,0,6,8,1,1,2,0,0,12,0,8,58,0,0,6,4,2,1,14,0
575470,Pod˘löany,221,115,114,13,0,0,5,0,6,4,0,1,0,0,0,1,0,0,20,0,0,1,0,0,0,7,0
572951,Pravy,106,72,72,13,0,0,8,1,8,4,0,3,2,0,0,14,0,6,25,0,1,1,0,0,0,7,0
572853,P¯elouË,410,317,311,3,0,0,2,0,3,4,0,1,0,0,0,5,0,1,18,1,1,2,0,1,0,2,5
575500,P¯elovice,540,365,363
575518,P¯epychy,307,232,232,3,2,0,7,0,3,17,0,3,0,0,0,11,0,4,46,0,0,8,0,0,0,13,1
575526,R·by,491,314,312,2,0,0,1,0,4,8,0,0,1,0,0,9,0,2,20,0,0,3,0,0,0,11,0
575534,Rohovl·dova BÏl·,419,279,278,65,0,0,20,0,14,16,7,2,9,0,1,40,0,24,80,0,0,7,0,1,0,12,3
575551,Rohoznice,183,144,143,26,1,0,17,0,21,20,3,1,4,0,1,30,0,5,117,0,2,22,0,1,1,26,4
575569,Rokytno,182,109,109,14,0,0,3,0,8,12,0,2,0,0,0,8,0,4,76,1,0,2,0,0,0,23,0
575577,RybitvÌ,262,172,168
575593,ÿeËany nad Labem,353,206,206,59,1,1,53,0,22,67,10,7,7,0,0,66,3,20,229,1,2,12,5,4,2,82,3
575607,Selmice,207,142,142
575615,SemÌn,141,94,94,1,0,0,4,0,7,11,0,0,2,0,0,1,0,1,15,0,1,0,0,0,0,4,0
575623,Sezemice,170,100,100,26,0,1,21,1,40,31,3,2,4,0,0,23,0,10,93,0,1,7,4,0,0,23,0
575640,Slepotice,171,106,106
575658,Sop¯eË,171,115,115,26,0,0,21,0,13,18,8,0,3,0,0,18,0,4,77,0,0,13,2,1,0,21,1
575666,Sovolusky,223,119,119,11,0,0,18,0,9,5,3,2,2,0,0,8,0,1,38,2,0,3,1,0,0,10,1
573027,Spojil,216,146,145,4,0,0,7,0,5,10,0,1,0,0,2,9,0,0,18,0,0,1,2,0,0,13,0
574198,Srch,218,143,141,70,0,1,11,2,17,8,9,3,7,0,0,32,0,21,84,0,0,19,3,1,0,22,1
575682,Srnojedy,148,91,91
553719,StarÈ HradiötÏ,139,83,83,65,0,0,15,2,14,21,3,5,11,0,2,33,0,28,111,1,0,21,2,0,0,27,2
575704,StarÈ JesenËany,62,46,46
575712,StarÈ éd·nice,397,259,256,42,0,0,14,0,10,20,1,4,4,1,0,24,1,6,67,0,0,13,1,2,1,21,0
575721,Star˝ Mate¯ov,104,57,57,42,3,0,31,1,6,29,2,3,6,0,0,16,0,11,113,1,0,4,3,0,1,40,0
575739,StÈblov·,379,231,231,40,3,0,21,0,12,5,5,5,3,0,0,32,0,11,114,0,0,9,0,0,0,18,0
572934,Stojice,285,192,190,14,0,0,7,0,3,12,2,1,2,0,0,21,0,7,53,0,0,4,3,1,1,12,0
575755,Straöov,252,174,174,6,0,1,7,0,3,11,0,0,1,0,0,15,0,0,49,0,0,3,1,0,1,11,0
575763,SvinËany,290,208,206,23,0,0,16,0,23,11,3,6,3,0,1,16,0,4,30,0,0,15,0,0,0,16,1
575771,Svojöice,320,210,208,19,0,0,10,1,6,17,4,2,2,0,0,23,0,9,76,0,0,16,1,0,1,19,0
575780,Tetov,202,135,133,13,0,0,15,0,10,22,3,2,1,0,0,11,0,3,40,0,1,5,0,0,0,16,0
575810,Trn·vka,110,77,75,7,0,0,4,0,8,13,0,3,0,1,0,7,0,2,32,0,2,1,0,0,0,14,0
